港台频道,#genre#

CCTV1高清,http://183.196.87.176:880/hls/1/index.m3u8
美亚电影,http://aktv-stream.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
环宇新闻,http://aktv-stream.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
环宇新闻,http://aktv-stream.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
凤凰中文,http://aktv-stream.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://222.217.247.52:8181/tsfile/live/1083_1.m3u8
凤凰咨询,http://aktv-stream.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
凤凰咨询,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰咨询,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰咨询,http://222.217.247.52:8181/tsfile/live/1082_1.m3u8
凤凰香港,http://aktv-stream.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8
凤凰香港,http://222.217.247.52:8181/tsfile/live/1084_1.m3u8
中天新闻,http://aktv-stream.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
中天新闻,http://aktv-stream.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
龙华电影,http://aktv-stream.m16tv.cfd/stream/taiwan/null-8/AKTV.m3u8
POPC电影,http://aktv-stream.m16tv.cfd/stream/aktv/popc/AKTV.m3u8
POPC电影,http://aktv-stream.m16tv.cfd/stream/aktv/popc/AKTV.m3u8
翡翠台1,http://aktv-stream.m16tv.cfd/stream/aktv/null/AKTV.m3u8
TVBJ1,http://aktv-stream.m16tv.cfd/stream/aktv/null-17/AKTV.m3u8
PALL DRAMA,http://aktv-stream.m16tv.cfd/stream/aktv/null-19/AKTV.m3u8
PALL,http://aktv-stream.m16tv.cfd/stream/aktv/null-2/AKTV.m3u8
NBA,http://aktv-stream.m16tv.cfd/stream/astro_a1/ch84/AKTV.m3u8
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映频道,http://aktv-stream.m16tv.cfd/stream/astro_a1/celestialmovies/AKTV.m3u8
天映频道,http://108.181.20.197/livehttpplay?channel_id=10130
东森电影,http://108.181.20.197/livehttpplay?channel_id=20077
东森洋片,http://108.181.20.197/livehttpplay?channel_id=20080
龙祥电影,http://108.181.20.197/livehttpplay?channel_id=20114
龙祥时代,http://222.217.247.52:8181/tsfile/live/1081_1.m3u8
东森洋片,http://108.181.20.197/livehttpplay?channel_id=20080
东森新闻,http://108.181.20.197/livehttpplay?channel_id=20082
好莱坞电影,http://108.181.20.197/livehttpplay?channel_id=20062
CHC动作电影,http://27.16.238.10:4022/rtp/239.69.1.242:11094
